Type,Date,Authors,Title,Series,Research theme,Website sub-theme
WP,Apr 2009,"Ames, Patricia, Vanessa Rojas and Tamia Portugal",Empezando la escuela: ¿Quién está preparado? Investigando la transición al primer grado,Young Lives Working Paper 47 (Spanish translation),Learning/time-use/transitions,Education transitions
WP,Apr 2009,"Ames, Patricia, Tamia Portugal and Vanessa Rojas",Starting School: Who is Prepared? Young Lives’ Research on Children’s Transition to First Grade in Peru,Young Lives Working Paper 47,Learning/time-use/transitions,Education transitions
WP,May 2009,"Krutikova, Sofya",Determinants of Child Labour: The Case of Andhra Pradesh,Young Lives Working Paper 48,Learning/time-use/transitions,Children's work
WP,May 2009,"Morrow, Virginia and Uma Vennam",Children Combining Work and Education in Cottonseed Production in Andhra Pradesh: Implications for Discourses of Children's Rights in India.,Young Lives Working Paper 50,Learning/time-use/transitions,Children's work
WP,May 2009,"Ko, Ivy and Jing Xing",Extra Classes and Subjective Well-being: Empirical Evidence from Vietnamese Children,Young Lives Working Paper 49,Learning/time-use/transitions,School and education
WP,Aug 2009,"Woodhead, Martin","Pathways through Early Childhood Education in Ethiopia, India and Peru: Rights, Equity and Diversity",Young Lives Working Paper 54,Learning/time-use/transitions,Early education
WP,Oct 2009,"Lopez Boo, Florencia","The Production Function of Cognitive Skills: Nutrition, Parental Inputs and Caste Test Gaps in India",Young Lives Working Paper 55,Children's experiences; Learning/time-use/transitions,Health and nutrition
WP,Nov 2009,"Woodhead, Martin, Patricia Ames, Uma Vennam, Workneh Abebe and Natalia Streuli","Equity and Quality? Challenges for Early Childhood and Primary Education in Ethiopia, India and Peru","Working Papers in Early Childhood Development 55, The Hague: Bernard van Leer Foundation",Learning/time-use/transitions,
WP,Apr 2010,"Woodhead, Martin, Patricia Ames, Uma Vennam, Workneh Abebe and Natalia Streuli","Equidad y Calidad? Retos para la educacion inicial y la primeria en Etiopia, India y Peru",Spanish translation of BvLF Working Paper 55,Learning/time-use/transitions,Early education and care
J,May 2010,"Cueto, Santiago, Gabriela Guerrero, Claudia Sugimaru and Alvaro Zevallos",Sense of Belonging and Transition to High Schools in Peru,International Journal of Educational Development 30(3),Learning/time-use/transitions,Education transitions
WP,Jun 2010,"Patricia Ames, Vanessa Rojas and Tamia Portugal",Continuity and Respect for Diversity: Strengthening Early Transitions in Peru,"Working Papers in Early Childhood Development 56, The Hague: Bernard van Leer Foundation",Learning/time-use/transitions,
WP,Jun 2010,"Tafere, Yisak",Changing Educational Aspirations of Children Living in Poverty in Ethiopia,Young Lives Working Paper 58,Children's experiences; Learning/time-use/transitions,Learning and outcomes
J,Jul 2010,"Morrow, Virginia and Uma Vennam","Combining Work and School: The Dynamics of Girls’ Involvement in Agricultural Work in Andhra Pradesh, India","Children & Society 24(4): Special Issue: Children, Poverty and Risk: Global Perspectives, pp. 304–14",Learning/time-use/transitions,Children's work
WP,Aug 2010,"Heissler, Karin and Catherine Porter",Know Your Place: Ethiopian Children's Contributions to the Household Economy,Young Lives Working Paper 61,Learning/time-use/transitions,Children's work
PB,Sep 2010,"Murray, Helen and Martin Woodhead",Early Childhood Care and Education as a Strategy for Poverty Reduction: Evidence from Young Lives,Young Lives Policy Brief 9,Learning/time-use/transitions,Early education and care
PB,Sep 2010,"Streuli, Natalia",Atención y educación de la primera infancia en el Perú: Evidencia de Niños del Milenio,Ninos del Mileno Policy Paper,Learning/time-use/transitions,Early education and care
SP,Oct 2010,"Madconald, Dara","""We do not want them to suffer as we do in the fields”: Secondary School Abandonment, Children’s Choices, and Family Responsibilities in Rural Peru",Young Lives Student Paper,Learning/time-use/transitions,
J,Nov 2010,"Orkin, Kate",In the Child's Best Interests? Legislation on Children's Work in Ethiopia,Journal of International Development 22.8: 1102–1114,"Learning, time-use and transitions; Policy",Children's work
WP,Dec 2010,"Molinas, Oswaldo, Ingo Outes and Alan Sanchez",Psychosocial Well-being and Cognitive Achievement in Peru,Young Lives Working Paper 65,Children's experiences; Learning/time-use/transitions,Psychological well-being; learning and outcomes
WP,Dec 2010,"Ames, Patricia and Vanessa Rojas",Change and Opportunity: The Transition from Primary to Secondary School in Rural and Urban Peru,Young Lives Working Paper 63,Learning/time-use/transitions,Education transitions
WP,Jan 2011,"Rojas, Vanessa",Violence in Schools,,Learning/time-use/transitions,School access and quality
WP,Jan 2011,"Porter, Catherine, Ingo Outes and Alan Sanchez",Early Childhood Outcomes: Nutritional Status and Cognitive Achivement,Siblings Survey paper (for IADB),Learning/time-use/transitions,Learning and outcomes; nutrition
WP,Mar 2011,"Orkin, Kate",‘If God wills…next year I will send her back to school’: The Effects of Child and Parental Illness on School Participation in Rural Ethiopia,CREATE Pathways to Access Research Monograph 6-,Children's experiences; learning,Risk and resilience
WP,May 2011,"Streuli, Natalia, Uma Vennam and Martin Woodhead","Increasing Choice or Inequality? Pathways through Early Education in Andhra Pradesh, India",Bernard van Leer Working Paper 58,Learning/time-use/transitions,Early childhood care
J,May 2011,"Camfield, Laura and Yisak Tafere",'Community Understandings of Childhood Transitions in Ethiopia: Different for Girls?',Children’s Geographies 9.2: 247–262,Learning/time-use/transitions,Transitions
WP,Jul 2011,Truong Huyen Chi,Eliminating Inter-Ethnic Inequalities? Assessing Impacts of Education Policies on Ethnic Minority Children in Vietnam,Young Lives Working Paper 69,Learning/time-use/transitions; children's experiences,Inequalities
WP,Jul 2011,"Rojas Arangoitia, Vanessa",'I'd rather be hit with a stick…Grades are sacred': Students' Perceptions of Discipline and Authority in a Public High School in Peru,Young Lives Working Paper 70,Learning/time-use/transitions; children's experiences,School quality and access
J,Jul 2011,"Helmers, Christian and Manasa Patnam",'The Formation and Evolution of Childhood Skill Acquisition: Evidence from India',Journal of Development Economics 95.2: 252-266,Dynamics; Learning/time-use/transitions,School and education
J,Jul 2011,"Crivello, Gina",Becoming Somebody’: Youth Transitions through Education and Migration in Peru',Journal of Youth Studies 14.4: 395-411,Learning/time-use/transitions,Transitions
WP,Nov 2011,"Galab, S. and Ingo Outes-Leon","Siblings, Schooling, Work and Drought",Young Lives Working Paper 73,Dynamics; Learning/time-use/transitions,School access; Shocks
PB,Nov 2011,"Brock, Karen",Early Childhood and the Transition to Primary School: Choices and Inequalities in Andhra Pradesh,Young Lives Policy Brief 15,Learning/time-use/transitions,Transitions
PB,Sep 2011,"Pells, Kirrily",Poverty and Gender Inequalities Evidence from Young Lives,Young Lives Policy Brief 13,Dynamics; cross-cutting,Gender
WP,Jul 2011,Truong Huyen Chi,Negotiating Children's Ethnic Identity in the Highlands of Vietnam,Young Lives Working Paper 68,Children's experiences; cross-cutting,Children's perceptions
J,Nov 2010,Camfield Laura and Caroline Knowles,Editorial: Supporting Children and Young People in a Changing World,Journal of International Development 22.8: 1055–1063,Cross-cutting,
SP,Jun 2009,"Nair, Arvind","Disadvantaged at Birth? The Impact of Caste on Cognitive Development of Young Children in Andhra Pradesh, India","Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Cross-cutting,Ethnicity/caste
WP,Jun 2005,"Woldehanna, Tassew, Nicola Jones, Bekele Tefera and Alebel Bayrau","Child Labour, Gender Inequality and Rural/Urban Disparities: How Can Ethiopia’s National Development Strategies Be Revised to Address Negative Spill-Over Impacts on Child Education and Well-being?",Young Lives Working Paper 20,Cross-cutting,Children's work; Gender
WP,Nov 2002,"Harpham, Trudy",Measuring Child Poverty and Health: A New International Study,Young Lives Working Paper 2,Methods; Policy,Poverty measurement; Health and nutrition
WP,Nov 2002,"Masset, Edoardo and Howard White",Constructing the Poverty Profile: An Illustration of the Importance of Allowing for Household Size and Composition in the Case of Vietnam,Young Lives Working Paper 3,Methods,Poverty measurement
WP,Nov 2002,"Harpham, Trudy",Measuring the Social Capital of Children,Young Lives Working Paper 4,Methods,Poverty measurement; Family and peer relationships
WP,Nov 2002,"Harpham, Trudy, Sharon Huttly, Thea de Wet and Ian Wilson",Linking Public Issues with Private Troubles: Panel Studies in Developing Countries,Young Lives Working Paper 5,Methods,Policy
WP,Nov 2002,"Masset, Edoardo and Howard White",Child Poverty in Vietnam: Using Adult Equivalence Scales to Estimate Income-Poverty for Different Age Groups,Young Lives Working Paper 6,Methods,Vietnam
WP,Nov 2002,"Leavy, Jennifer, Andrew Masters and Howard White",Comparative Perspectives on Child Poverty: A Review of Policy Measures,Young Lives Working Paper 1,Methods,Poverty measurement
TN,Sep 2003,"Attawell, Kathy",International Longitudinal Research on Childhood Poverty: Practical Guidelines and Lessons Learned from Young Lives,Young Lives Technical Note,Methods,Poverty measurement
WP,Nov 2003,"Platt, Lucinda",Putting Childhood Poverty on the Agenda: The Relationship between Research and Policy in Britain 1800-1950,Young Lives Working Paper 7,Methods,Policy
WP,Nov 2003,"Seager, John R. and Thea de Wet",Establishing Large Panel Studies in Developing Countries: The Importance of the Young Lives Pilot Phase,Young Lives Working Paper 9,Methods,Poverty measurement
WP,Nov 2003,"Masset, Edoardo and Howard White",Infant and Child Mortality in Andhra Pradesh: Analysing Changes Over Time and Between States,Young Lives Working Paper 8,Methods,Health and nutrition
J,Sep 2004,"Harpham, Trudy, Nguyen Thu Huong and Tran Tuan",Validity and Reliability of the Self-reporting Questionnaire 20 Items in Vietnam,Hong Kong Journal of Psychiatry 14(3): 15-18,Methods,Poverty measurement
WP,Nov 2004,"Huttly, Sharon R.A. and Ian Wilson","Young Lives: A Case Study of Sample Design for Longitudinal Research",Young Lives Working Paper 10,Methods,Sampling and attrition
WP,Nov 2004,"Attawell, Kathy",International Longitudinal Research on Childhood Poverty: Practical Guidelines and Lessons Learned from Young Lives,Young Lives Working Paper 11,Methods,Poverty measurement
J,Jan 2005,"Harpham, Trudy, Nguyen Thu Huong, Tran Thap Long and Tran Tuan",Participatory Child Poverty Assessment in Rural Vietnam,Children & Society 19(1): 27-41,Methods,Poverty measurement
WP,Mar 2005,"Mary De Silva, Darin Dewitt, Trudy Harpham, Nguyen Thi Van Ha, Nguyen Thu Huong, Tran Thap Long and Tran Tuan",Measuring Social Capital and Mental Health in Vietnam: A Validity Study,Young Lives Working Paper 12,Methods,Poverty measurement
J,May 2005,"De Silva, Mary, Trudy Harpham, Darin Dewitt, Nguyen Thi Van Ha, Ngyuen Thu Huong, Tran Thap Long, Tran Tuan and Van Thi Thuy Huong",Validity of Social Capital Measurement Tool in Vietnam,Asian Journal of Social Science 33(2): 208-22,Methods,Poverty measurement
WP,May 2005,"Jones, Nicola","Reflections on Young Lives 2000-2005: Bridging Research, Policy Analysis and Advocacy to Tackle Childhood Poverty",Young Lives Working Paper 17,Methods,Policy
WP,Jun 2005,"Jones, Nicola, Berhanu Gutema, Bekele Tefera, and Tassew Woldehanna",Mainstreaming Children into National Poverty Strategies: A Child-focused Analysis of Ethiopian Sustainable Development and Poverty Reduction Programme (2002-2005),Young Lives Working Paper 22,Methods,Policy
WP,Jun 2005,"Jones, Nicola, Bekele Tefera and Tassew Woldehanna","Research, Policy Engagement and Practice: Reflections on Efforts to Mainstream Children into Ethiopia’s Second National Poverty Reduction Strategy",Young Lives Working Paper 21,Methods,Policy
WP,Nov 2005,"Jones, Nicola and Pham Thi Lan",The Ethics of Research Reciprocity: Making Children’s Voices Heard in Poverty Reducation Policy-Making in Vietnam,Young Lives Working Paper 25,Methods,Ethics
J,Dec 2006,"Wilson, Ian, Sharon R.A. Huttly and Bridget Fenn",A Case Study of Sample Design for Longitudinal Research: Young Lives,International Journal of Social Research Methodology 9(5): 351-365,Methods,Poverty measurement
J,Jan 2008,"Jones, Nicola and Eliana Villar",Situating Children in International Development Policy: Challenges Involved in Successful Policy Influencing,Evidence & Policy 4(1): 31-51,Methods,Policy
TN,Mar 2008,"Dercon, Stefan and Ingo Outes-Leon",Survey Attrition and Attrition Bias in Young Lives,Young Lives Technical Note 5,Methods,Sampling and attrition
TN,Mar 2008,"Nguyen, Ngoc P.",An Assessment of the Young Lives Sampling Approach in Vietnam,Young Lives Technical Note 4,Methods,Sampling and attrition
TN,Mar 2008,"Escobal, Javier and Eva Flores",An Assessment of the Young Lives Sampling Approach in Peru,Young Lives Technical Note 3,Methods,Sampling and attrition
TN,Mar 2008,"Outes-Leon, Ingo and Alan Sanchez",An Assessment of the Young Lives Sampling Approach in Ethiopia,Young Lives Technical Note 1,Methods,Sampling and attrition
TN,Mar 2008,"Mukherji, Arnab",Trends in Andhra Pradesh with a Focus on Poverty,Young Lives Technical Note 7,Methods,Poverty measurement
TN,Mar 2008,"Kumra, Neha","An Assessment of the Young Lives Sampling Approach in Andhra Pradesh, India",Young Lives Technical Note 2,Methods,Sampling and attrition
TN,Apr 2008,"Sanchez, Alan",Childhood Poverty in Peru: An Annotated Literature Review,Young Lives Technical Note 8,Methods,Poverty measurement
WP,May 2008,"Crivello, Gina, Pia Vogler and Martin Woodhead","Early Childhood Transitions Research: A Review of Concepts, Theory and Practice",Bernard van Leer Foundation Working Paper 48,Methods,Early education
J,Jun 2008,"Jones, Nicola, Bekele Tefera and Tassew Woldehanna",Childhood Poverty and Evidence-based Policy Engagement in Ethiopia,Development in Practice 18(3): 371-384,Methods,Policy
TN,Aug 2008,"Camfield, Laura, Natalia Streuli and Martin Woodhead","Children's Well-being in Contexts of Poverty: Approaches to Research, Monitoring and Participation",Young Lives Technical Note 12,Methods,Well-being
TN,Aug 2008,"Johnston, Joy","Children's Perspectives on their Young Lives: Report on methods for sub-studies. Peru Pilot, April 2006",Young Lives Technical Note 10,Methods,Children's views
TN,Aug 2008,"Nguyen, Ngoc P.",Childhood Poverty in Vietnam: A Review,Young Lives Technical Note 9,Methods,Poverty measurement
TN,Aug 2008,"Johnston, Joy","Methods, Tools and Instruments for Use with Children",Young Lives Technical Note 11,Methods,Poverty measurement
J,Sep 2008,"Komanduri, Anuradha and Uma Vennan",Listening to Children: Promoting the Right to Participation,Journal of Juridical Studies,Methods,Children's views
TN,Oct 2008,"Hart, Jason,",Business as Usual? The Global Political Economy of Childhood Poverty,Young Lives Technical Note 13,Methods,Policy
J,Dec 2008,"Sumner, Andy and Trudy Harpham","The Market for 'Evidence' in Policy Processes: The Case of Child Health Policy in Andhra Pradesh, India and Vietnam",European Journal of Development Research 20(4):712-32,Methods,Policy
J,Jan 2009,"Camfield, Laura, Christine Griffin and Bethlehem Tekola",Using Qualitative Methods with Poor Children in Urban Ethiopia: Opportunities and Challenges,Social Indicators Research 90(1): 73-87,Methods,Poverty measurement
J,Jan 2009,"Camfield, Laura and Gina Crivello","Editorial: special issue on ""Qualitative Approaches to Researching Well-being and Quality of Life""",Social Indicators Research 90(1): 1-3,Methods,Poverty measurement
J,Jan 2009,"Camfield, Laura, Gina Crivello and Martin Woodhead",Well-being Research in Developing Countries: Reviewing the Role of Qualitative Methods,Social Indicators Research 90(1): 5-31,Methods,Poverty measurement
J,Jan 2009,"Camfield, Laura, Gina Crivello and Martin Woodhead",How Can Children Tell Us About Their Well-being? Exploring the Potential of Participatory Research Approaches within Young Lives,Social Indicators Research 90(1): 51-72,Methods,Poverty measurement
J,Jan 2009,"Camfield, Laura, Natalia Streuli and Martin Woodhead","What's the Use of ""Well-being"" in Contexts of Child Poverty? Approaches to Research, Monitoring and Children's Participation",International Journal of Children’s Rights 17(1): 65-109,Methods,Poverty measurement
TN,Jul 2009,"Ames, Patricia, Vanessa Rojas, Tamia Portugal",Young Lives Qualitative Research: Round 1 - Peru,Young Lives Technical Note 18,Methods,Poverty measurement
WP,Aug 2009,"Morrow, Virginia",The Ethics of Social Research with Children and Families in Young Lives,Young Lives Working Paper 53,Methods,Ethics
TN,Oct 2009,"Vennam, Uma and Anuradha Komanduri",Young Lives Qualitative Research: Round 1 - India,Young Lives Technical Note 21,Methods,Poverty measurement
TN,Oct 2009,"Vennam, Uma and Anuradha Komanduri","Selected Topics in Child Well-being in India: A Review of Policies, Programmes and Services",Young Lives Technical Note 20,Methods,Poverty measurement
TN,Oct 2009,"Tafere, Yisak, Workneh Abebe, Asham Assazenew",Young Lives Qualitative Research: Round 1 - Ethiopia,Young Lives Technical Note 19,Methods,Poverty measurement
WP,Nov 2010,"Porter, Caitlin",What Shapes the Influence Evidence Has on Policy? The Role of Politics in Research Utilisation,Young Lives Working Paper 62,Methods,Policy
TN,Nov 2010,"Ames, Patricia, Vanessa Rojas and Tamia Portugal","Métodos para la Investigación con Niños: Lecciones Aprendidas, Desafíos y Propuestas desde la Experiencia de Niños del Milenio en el Perú",,Methods,Poverty measurement
PB,Sep 2011,Dornan Paul and Jo Boyden,Putting Children at the Centre of Poverty Debates,Young Lives Policy Brief 12,Methods; Policy,
